second,speaker,compound,pos,neu,neg,text
110,Speaker B,0.9685,0.521,0.406,0.073,"I feel like I just love to watch a lot of like shitty TV, whatever it is. Like, I really love like reality like Love Island UK, you know?"
111,Speaker B,0.9685,0.521,0.406,0.073,"I feel like I just love to watch a lot of like shitty TV, whatever it is. Like, I really love like reality like Love Island UK, you know?"
112,Speaker B,0.9685,0.521,0.406,0.073,"I feel like I just love to watch a lot of like shitty TV, whatever it is. Like, I really love like reality like Love Island UK, you know?"
113,Speaker B,0.9685,0.521,0.406,0.073,"I feel like I just love to watch a lot of like shitty TV, whatever it is. Like, I really love like reality like Love Island UK, you know?"
114,Speaker B,0.9685,0.521,0.406,0.073,"I feel like I just love to watch a lot of like shitty TV, whatever it is. Like, I really love like reality like Love Island UK, you know?"
115,Speaker B,0.34,0.305,0.528,0.167,"I'm like, dude, I mean, I've watched like Outer Banks, like all the worst shows, you know?"
116,Speaker B,0.34,0.305,0.528,0.167,"I'm like, dude, I mean, I've watched like Outer Banks, like all the worst shows, you know?"
117,Speaker B,0.34,0.305,0.528,0.167,"I'm like, dude, I mean, I've watched like Outer Banks, like all the worst shows, you know?"
118,Speaker B,0.34,0.305,0.528,0.167,"I'm like, dude, I mean, I've watched like Outer Banks, like all the worst shows, you know?"
119,Speaker B,0.34,0.305,0.528,0.167,"I'm like, dude, I mean, I've watched like Outer Banks, like all the worst shows, you know?"
147,Speaker B,0.9034,0.653,0.347,0.0,"So, like just like a a fun little bar, like good vibe."
148,Speaker B,0.9034,0.653,0.347,0.0,"So, like just like a a fun little bar, like good vibe."
149,Speaker B,0.0,0.0,1.0,0.0,What about you?
150,Speaker B,0.0,0.0,1.0,0.0,What about you?
158,Speaker A,0.6705,0.355,0.645,0.0,driving through the hills is like my favorite thing possible to do.
159,Speaker A,0.6705,0.355,0.645,0.0,driving through the hills is like my favorite thing possible to do.
160,Speaker A,0.6705,0.355,0.645,0.0,driving through the hills is like my favorite thing possible to do.
168,Speaker A,0.7269,0.337,0.663,0.0,[Laugh] Um I actually like should probably know that and I think I do.
169,Speaker A,0.7269,0.337,0.663,0.0,[Laugh] Um I actually like should probably know that and I think I do.
170,Speaker A,0.7269,0.337,0.663,0.0,[Laugh] Um I actually like should probably know that and I think I do.
171,Speaker A,0.6573,0.686,0.314,0.0,So that's great.
174,Speaker B,0.0,0.0,1.0,0.0,"Oh man, two different things. So I was in Teletubby with my dog."
175,Speaker B,0.0,0.0,1.0,0.0,"Oh man, two different things. So I was in Teletubby with my dog."
188,Speaker B,0.7269,0.67,0.33,0.0,Okay. I love that. Um
194,Speaker B,0.0,0.0,1.0,0.0,What about you?
